City,State,Address,AIN,Sold Price,Bedrooms,Bathrooms,Area (SqFt),Property Type,Year Built,Age,Sold Date (raw),Lot Size (val),Lot Size (unit),HOA Fee,Latitude,Longitude,ZPID
boston,ma,"1524 Commonwealth Ave, Brighton, MA 02135",,$1.40M,8.0,4.0,3331.0,MULTI_FAMILY,,,1757401200000,2378.0,sqft,,42.345375,-71.14124,59091456
boston,ma,"58 Thomas Park, South Boston, MA 02127",,$1.31M,4.0,3.0,2127.0,SINGLE_FAMILY,,,1757401200000,1620.0,sqft,,42.331974,-71.04572,59151282
boston,ma,"236 Marlborough St APT 1, Boston, MA 02116",,$1.12M,1.0,2.0,980.0,CONDO,,,1757401200000,,,,42.35186,-71.081635,59170349
boston,ma,"300 Allston St APT 208, Brighton, MA 02135",,"$765,000",2.0,2.0,1277.0,CONDO,,,1757401200000,,,,42.344208,-71.14059,63711277
boston,ma,"226 E Cottage St #1, Dorchester, MA 02125",,"$515,000",2.0,1.0,975.0,CONDO,,,1757401200000,975.0,sqft,,42.318913,-71.05943,81855983
boston,ma,"300 Pier 4 Blvd UNIT 4K, Boston, MA 02210",,$1.83M,1.0,2.0,1046.0,CONDO,,,1757401200000,,,,42.35257,-71.042366,333606239
boston,ma,"4 Payne St, Dorchester, MA 02122",,"$955,000",3.0,3.0,1713.0,CONDO,,,1757314800000,,,,42.294926,-71.05062,59115153
boston,ma,"31 Parley Ave, Jamaica Plain, MA 02130",,$2.13M,4.0,4.0,3485.0,SINGLE_FAMILY,,,1757314800000,7686.0,sqft,,42.314423,-71.11188,59133221
boston,ma,"7 Oakcrest Rd APT 9, Hyde Park, MA 02136",,"$295,000",2.0,1.0,712.0,CONDO,,,1757314800000,,,,42.263954,-71.1047,59136588
boston,ma,"25 Congreve St, Roslindale, MA 02131",,$1.28M,7.0,3.0,3566.0,MULTI_FAMILY,,,1757314800000,4887.0,sqft,,42.288853,-71.13712,59142852
boston,ma,"130 Tudor St APT D, South Boston, MA 02127",,"$635,000",2.0,1.0,788.0,CONDO,,,1757314800000,788.0,sqft,,42.33605,-71.05256,59147769
boston,ma,"138 W 8th St, South Boston, MA 02127",,$1.51M,4.0,3.0,2314.0,SINGLE_FAMILY,,,1757314800000,941.0,sqft,,42.3349,-71.053474,59149349
boston,ma,"47 Middle St, South Boston, MA 02127",,$1.57M,8.0,3.0,3048.0,MULTI_FAMILY,,,1757314800000,2321.0,sqft,,42.33202,-71.055725,59152754
boston,ma,"6 Whittier Pl APT 15O, Boston, MA 02114",,"$545,000",1.0,1.0,835.0,CONDO,,,1757314800000,742.0,sqft,,42.365704,-71.0667,59163376
boston,ma,"376 Commercial St APT 4D, Boston, MA 02109",,$1.38M,2.0,3.0,1250.0,TOWNHOUSE,,,1757314800000,,,,42.366196,-71.051796,59178640
boston,ma,"545 E 7th St #3, South Boston, MA 02127",,"$575,000",1.0,1.0,626.0,CONDO,,,1757314800000,626.0,sqft,,42.332127,-71.038666,90137208
boston,ma,"1135-1137 Hyde Park Ave #2, Hyde Park, MA 02136",,"$815,000",4.0,2.0,2300.0,TOWNHOUSE,,,1757314800000,0.2599862258953168,acres,,42.26053,-71.12332,452049504
boston,ma,"123-123 Centre St #TOWNHOUSE 1, Dorchester Center, MA 02124",,"$685,000",2.0,2.0,1600.0,TOWNHOUSE,,,1757314800000,,,,42.29132,-71.06663,455190366
boston,ma,"111 Williams St #2, Boston, MA 02130",,"$580,000",2.0,1.0,964.0,CONDO,,,1757314800000,3164.0,sqft,,42.304745,-71.10585,2125009888
boston,ma,"10 Howes St, Dorchester, MA 02125",,$1.04M,4.0,2.0,2273.0,SINGLE_FAMILY,,,1757055600000,3484.0,sqft,,42.317726,-71.05751,59105282
boston,ma,"9 Brainard St, Hyde Park, MA 02136",,"$790,000",3.0,2.0,1451.0,SINGLE_FAMILY,,,1757055600000,7527.0,sqft,,42.254604,-71.13337,59127626
boston,ma,"200 Dana Ave, Hyde Park, MA 02136",,"$590,000",4.0,2.0,1470.0,SINGLE_FAMILY,,,1757055600000,6124.0,sqft,,42.24607,-71.11808,59127932
boston,ma,"117 Babson St, Mattapan, MA 02126",,"$600,000",3.0,2.0,1660.0,SINGLE_FAMILY,,,1757055600000,3686.0,sqft,,42.27145,-71.09256,59138020
boston,ma,"32 Ellison Ave, Mattapan, MA 02126",,"$700,000",4.0,2.0,1590.0,SINGLE_FAMILY,,,1757055600000,5000.0,sqft,,42.276978,-71.073135,59138556
